Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
1,0.0,1767187681882788,3,RSSI_LOW,"From:N5,RSSI:-120dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:27:59.794864
2,0.1,1767187681987444,3,BIDIR_LINK,"NodeID:2,RSSI:-82dBm,Status:BIDIRECTIONAL",2025-12-31 20:27:59.998106
3,0.1,1767187681993280,6,BIDIR_LINK,"NodeID:2,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-31 20:27:59.998106
4,0.1,1767187681998529,5,BIDIR_LINK,"NodeID:2,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:27:59.998106
5,0.9,1767187682776445,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:00.948907
6,0.9,1767187682776661,2,BIDIR_LINK,"NodeID:6,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:00.947213
7,0.9,1767187682787518,5,BIDIR_LINK,"NodeID:6,RSSI:-95dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:00.948214
8,0.9,1767187682787769,4,BIDIR_LINK,"NodeID:6,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:00.666511
9,1.6,1767187683488650,2,BIDIR_LINK,"NodeID:3,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:01.397629
10,1.6,1767187683494292,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:01.397629
11,1.9,1767187683789776,5,RSSI_LOW,"From:N3,RSSI:-116dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:01.773719
12,1.9,1767187683789819,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:01.773719
13,4.0,1767187685884677,2,RSSI_LOW,"From:N4,RSSI:-122dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:03.779513
14,4.0,1767187685890292,6,BIDIR_LINK,"NodeID:4,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:03.781513
15,4.5,1767187686384653,2,BIDIR_LINK,"NodeID:5,RSSI:-84dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:04.325524
16,4.5,1767187686385972,3,BIDIR_LINK,"NodeID:4,RSSI:-92dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:04.325524
17,4.5,1767187686390279,6,BIDIR_LINK,"NodeID:5,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:04.325524
18,5.1,1767187686990446,3,BIDIR_LINK,"NodeID:2,RSSI:-82dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:04.906421
19,5.1,1767187686996281,6,BIDIR_LINK,"NodeID:2,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:04.906421
20,5.1,1767187687001529,5,BIDIR_LINK,"NodeID:2,RSSI:-81dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:04.906421
21,5.1,1767187687001761,4,RSSI_LOW,"From:N2,RSSI:-123dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:04.906421
22,5.7,1767187687596441,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:05.730836
23,5.7,1767187687596663,2,BIDIR_LINK,"NodeID:6,RSSI:-104dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:05.730836
24,5.7,1767187687606513,5,BIDIR_LINK,"NodeID:6,RSSI:-95dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:05.729835
25,5.7,1767187687607748,4,BIDIR_LINK,"NodeID:6,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:05.730836
26,6.3,1767187688202650,2,BIDIR_LINK,"NodeID:3,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:06.094813
27,6.3,1767187688208289,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:06.246347
28,6.7,1767187688608849,5,RSSI_LOW,"From:N3,RSSI:-124dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:06.553448
29,6.7,1767187688609986,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:06.554454
30,8.8,1767187690703667,2,RSSI_LOW,"From:N4,RSSI:-121dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:08.610786
31,8.8,1767187690709304,6,BIDIR_LINK,"NodeID:4,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:08.609786
32,8.8,1767187690714518,5,RSSI_LOW,"From:N4,RSSI:-125dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:08.609786
33,9.2,1767187691099711,3,BIDIR_LINK,"NodeID:4,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:09.017010
34,9.3,1767187691203663,2,BIDIR_LINK,"NodeID:5,RSSI:-83dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:09.183422
35,9.3,1767187691209279,6,BIDIR_LINK,"NodeID:5,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:09.184423
36,9.9,1767187691809446,3,BIDIR_LINK,"NodeID:2,RSSI:-82dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:09.759217
37,9.9,1767187691815281,6,BIDIR_LINK,"NodeID:2,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:09.759217
38,9.9,1767187691820529,5,BIDIR_LINK,"NodeID:2,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:09.759217
39,10.5,1767187692415445,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:10.309111
40,10.5,1767187692415661,2,BIDIR_LINK,"NodeID:6,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:10.308111
41,10.5,1767187692425510,5,BIDIR_LINK,"NodeID:6,RSSI:-95dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:10.305111
42,10.5,1767187692426761,4,BIDIR_LINK,"NodeID:6,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:10.305111
43,11.1,1767187693021650,2,BIDIR_LINK,"NodeID:3,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:10.914032
44,11.1,1767187693027288,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:10.918034
45,11.5,1767187693427801,5,RSSI_LOW,"From:N3,RSSI:-118dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:11.308399
46,11.5,1767187693428892,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:11.309400
47,12.8,1767187694706275,2,NEIGHBOR_REMOVED,"NodeID:4,Reason:INACTIVE,Duration:20000ms,RSSI:-114dBm,WasBidir:NO",2025-12-31 20:28:12.731451
48,13.6,1767187695528292,6,BIDIR_LINK,"NodeID:4,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:13.414639
49,14.0,1767187695918733,3,BIDIR_LINK,"NodeID:4,RSSI:-92dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:13.954527
50,14.1,1767187696022451,3,RSSI_LOW,"From:N5,RSSI:-121dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:13.955527
51,14.1,1767187696022654,2,BIDIR_LINK,"NodeID:5,RSSI:-83dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:13.954527
52,14.1,1767187696028280,6,BIDIR_LINK,"NodeID:5,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:13.955527
53,14.7,1767187696628444,3,BIDIR_LINK,"NodeID:2,RSSI:-82dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:14.859837
54,14.8,1767187696634281,6,BIDIR_LINK,"NodeID:2,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:14.858836
55,14.8,1767187696638536,5,BIDIR_LINK,"NodeID:2,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:14.517967
56,15.4,1767187697234445,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:15.270916
57,15.4,1767187697234663,2,BIDIR_LINK,"NodeID:6,RSSI:-105dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:15.270916
58,15.4,1767187697244510,5,BIDIR_LINK,"NodeID:6,RSSI:-95dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:15.270916
59,15.4,1767187697245759,4,BIDIR_LINK,"NodeID:6,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:15.270916
60,16.0,1767187697840650,2,BIDIR_LINK,"NodeID:3,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:15.765669
61,16.0,1767187697846290,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:15.765669
62,16.4,1767187698247044,5,RSSI_LOW,"From:N3,RSSI:-116dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:16.181025
63,16.4,1767187698247833,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:16.181025
64,18.5,1767187700341669,2,RSSI_LOW,"From:N167,RSSI:-123dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:18.237089
65,18.5,1767187700347292,6,BIDIR_LINK,"NodeID:4,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:18.237089
66,18.9,1767187700737668,3,BIDIR_LINK,"NodeID:4,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:18.631992
67,19.0,1767187700841473,3,RSSI_LOW,"From:N5,RSSI:-124dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:18.736125
68,19.0,1767187700841653,2,BIDIR_LINK,"NodeID:5,RSSI:-83dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:18.739127
69,19.0,1767187700847293,6,BIDIR_LINK,"NodeID:5,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:18.741127
70,19.2,1767187701080449,3,NEIGHBOR_ADDED,"NodeID:1,RSSI:-102dBm,Slot:1,Hop:0",2025-12-31 20:28:18.992845
71,19.2,1767187701080657,2,NEIGHBOR_ADDED,"NodeID:1,RSSI:-113dBm,Slot:1,Hop:0",2025-12-31 20:28:18.984845
72,19.2,1767187701086288,6,NEIGHBOR_ADDED,"NodeID:1,RSSI:-105dBm,Slot:1,Hop:0",2025-12-31 20:28:18.986845
,19.2,1767187701090816,3,CYCLE_VAL,"FirstCycle=1,From=1,RSSI=-102",2025-12-31 20:28:18.992845
,19.2,1767187701090923,3,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-102",2025-12-31 20:28:18.992845
,19.2,1767187701091028,2,CYCLE_VAL,"FirstCycle=1,From=1,RSSI=-113",2025-12-31 20:28:18.984845
,19.2,1767187701091132,2,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-113",2025-12-31 20:28:18.984845
,19.2,1767187701096650,6,CYCLE_VAL,"FirstCycle=1,From=1,RSSI=-105",2025-12-31 20:28:18.986845
,19.2,1767187701096753,6,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-105",2025-12-31 20:28:18.986845
73,19.7,1767187701564454,3,BIDIR_LINK,"NodeID:2,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.457958
74,19.7,1767187701567585,1,NEIGHBOR_ADDED,"NodeID:2,RSSI:-113dBm,Slot:2,Hop:1",2025-12-31 20:28:19.557562
75,19.7,1767187701567691,1,BIDIR_LINK,"NodeID:2,RSSI:-113dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.557562
76,19.7,1767187701570292,6,BIDIR_LINK,"NodeID:2,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.456957
