Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
1,0.0,1767178298481091,1,NEIGHBOR_ADDED,"NodeID:2,RSSI:-47dBm,Slot:2,Hop:127",2025-12-31 17:51:36.699413
2,0.7,1767178299156022,1,NEIGHBOR_ADDED,"NodeID:3,RSSI:-58dBm,Slot:3,Hop:127",2025-12-31 17:51:37.602497
3,0.7,1767178299173351,2,NEIGHBOR_ADDED,"NodeID:3,RSSI:-40dBm,Slot:3,Hop:127",2025-12-31 17:51:37.603013
4,3.6,1767178302078674,3,NEIGHBOR_ADDED,"NodeID:6,RSSI:-49dBm,Slot:6,Hop:127",2025-12-31 17:51:41.887467
5,3.6,1767178302080976,1,NEIGHBOR_ADDED,"NodeID:6,RSSI:-59dBm,Slot:6,Hop:127",2025-12-31 17:51:40.161391
6,3.6,1767178302099267,2,NEIGHBOR_ADDED,"NodeID:6,RSSI:-53dBm,Slot:6,Hop:127",2025-12-31 17:51:40.489467
7,4.2,1767178302683571,3,NEIGHBOR_ADDED,"NodeID:1,RSSI:-57dBm,Slot:1,Hop:0",2025-12-31 17:51:41.887467
8,4.2,1767178302683634,3,BIDIR_LINK,"NodeID:1,RSSI:-57dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:41.887467
9,4.2,1767178302704260,2,NEIGHBOR_ADDED,"NodeID:1,RSSI:-45dBm,Slot:1,Hop:0",2025-12-31 17:51:40.767638
10,4.2,1767178302704324,2,BIDIR_LINK,"NodeID:1,RSSI:-45dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:40.981743
11,4.2,1767178302704371,2,BIDIR_LINK,"NodeID:1,RSSI:-45dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:40.981743
12,4.2,1767178302707718,6,NEIGHBOR_ADDED,"NodeID:1,RSSI:-55dBm,Slot:1,Hop:0",2025-12-31 17:51:42.798378
,4.2,1767178302714745,2,CYCLE_VAL,"FirstCycle=3,From=1,RSSI=-45",2025-12-31 17:51:40.981743
,4.2,1767178302714853,2,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-45",2025-12-31 17:51:40.982744
,4.2,1767178302718219,6,CYCLE_VAL,"FirstCycle=3,From=1,RSSI=-55",2025-12-31 17:51:42.798378
,4.2,1767178302718324,6,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-55",2025-12-31 17:51:42.799378
13,5.4,1767178303869000,1,NEIGHBOR_ADDED,"NodeID:5,RSSI:-52dBm,Slot:5,Hop:127",2025-12-31 17:51:42.298507
14,5.4,1767178303886276,2,NEIGHBOR_ADDED,"NodeID:5,RSSI:-47dBm,Slot:5,Hop:127",2025-12-31 17:51:42.298507
15,5.6,1767178304051599,3,NEIGHBOR_ADDED,"NodeID:5,RSSI:-56dBm,Slot:5,Hop:127",2025-12-31 17:51:42.299509
16,5.6,1767178304057574,3,NEIGHBOR_ADDED,"NodeID:4,RSSI:-69dBm,Slot:4,Hop:127",2025-12-31 17:51:42.299509
17,5.6,1767178304061004,1,NEIGHBOR_ADDED,"NodeID:4,RSSI:-49dBm,Slot:4,Hop:127",2025-12-31 17:51:42.299509
18,5.6,1767178304078256,2,NEIGHBOR_ADDED,"NodeID:4,RSSI:-68dBm,Slot:4,Hop:127",2025-12-31 17:51:42.299509
