Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
1,-771.9,1767098954412284,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:00:48.663484
,-771.9,1767098954412407,4,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-101",2025-12-30 21:00:48.663484
2,-769.5,1767098956753290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:00:51.011128
3,-767.3,1767098958915284,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:00:53.235483
,-767.3,1767098958915407,4,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-101",2025-12-30 21:00:53.235991
4,-765.0,1767098961266290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:00:55.623347
5,-762.8,1767098963418296,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:00:57.671367
,-762.8,1767098963418436,4,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-101",2025-12-30 21:00:57.671367
6,-760.5,1767098965759290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:00.008425
7,-759.4,1767098966826428,4,NEIGHBOR_REMOVED,"NodeID:3,Reason:INACTIVE,Duration:20000ms,RSSI:-78dBm,WasBidir:YES",2025-12-30 21:01:01.215915
8,-758.3,1767098967921314,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:02.171083
,-758.3,1767098967921444,4,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:02.450096
9,-756.0,1767098970262292,4,BIDIR_LINK,"NodeID:2,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:04.511912
10,-753.8,1767098972424296,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:06.821594
,-753.8,1767098972424431,4,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:06.821594
11,-751.5,1767098974765290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:09.013885
12,-749.3,1767098976927284,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:11.180727
,-749.3,1767098976927414,4,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:11.180727
13,-747.0,1767098979268290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:13.525435
14,-744.8,1767098981429283,4,BIDIR_LINK,"NodeID:1,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:15.877857
,-744.8,1767098981429413,4,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-99",2025-12-30 21:01:15.877857
15,-742.5,1767098983771290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:18.022528
16,-740.3,1767098985932284,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:20.250017
,-740.3,1767098985932414,4,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:20.250017
17,-738.0,1767098988284290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:22.542153
,-738.0,1767098988294661,4,FORWARD_ENQUEUE,"Msg:660,From:2,Hop:2,NextHop:TBD",2025-12-30 21:01:22.628841
18,-735.8,1767098990435294,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:24.761338
,-735.8,1767098990435431,4,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:24.761338
19,-733.5,1767098992777292,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:27.027286
20,-731.3,1767098994938328,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:29.286522
,-731.3,1767098994938460,4,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:29.287752
21,-729.8,1767098996434565,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:30.699518
,-729.8,1767098996434706,2,CYCLE_SYNC,"Cycle=4,From=4,Hop=1,RSSI=-101",2025-12-30 21:01:30.703644
22,-729.0,1767098997280292,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:31.529837
23,-726.8,1767098999441284,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:33.690752
,-726.8,1767098999441414,4,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:33.690752
24,-725.3,1767099000926565,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:35.190632
,-725.3,1767099000926707,2,CYCLE_SYNC,"Cycle=5,From=4,Hop=1,RSSI=-101",2025-12-30 21:01:35.201156
25,-724.5,1767099001783290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:36.046638
26,-722.3,1767099003944284,4,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:38.269589
,-722.3,1767099003944414,4,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-101",2025-12-30 21:01:38.269589
